Módulo (Nivel),Dia de la semana,Tema Principal (Gramática / Estructura),Enfoque Práctico (Para los Tracks de Cotorreo),Columna 1,Columna 2,Columna 3,Columna 4,Estado,Propietario,Fecha de inicio,Fecha de finalización,Warm Up,Core Phase: Input,Core Phase: Output
Basic — B Mix (Consolidación),Sat,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,small talk,talktime,periplo-party
Basic — B Mix (Consolidación),Lun,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,anagram,reading,talktime
Basic — B Mix (Consolidación),Mar,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,wordcascade,lingomatch,quememesoy⚠️
Basic — B Mix (Consolidación),Mie,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,emojispell,reading,talktime
Basic — B Mix (Consolidación),Jue,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,memorama,listening,talktime
Basic — B Mix (Consolidación),Vie,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,lastword⚠️,conoceme⚠️,talktime
Basic — B Mix (Consolidación),Sat,Sem 2 — Tu Vida Digital en Inglés,SIN GRAMÁTICA NUEVA — Emails / DMs / memes / textos — inglés escrito en todos sus registros,Retrieval VP3 — Travel & Adventure,Retrieval VP4 — Feelings & Reactions,Retrieval NP3–NP4,Registro formal vs informal · Modal verbs de cortesía · Memes · Email al jefe · DMs,Sin comenzar,,,,small talk,songpipeline,periplo-party
Basic — B Mix (Consolidación),Lun,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,emojispell,reading,talktime
Basic — B Mix (Consolidación),Mar,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,anagram,jeopardy,talktime
Basic — B Mix (Consolidación),Mie,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,memorama,reading,talktime
